date,period,word_count,sentiment,relationships_count,work_projects_count,self_reflection_count,emotional_struggle_count,achievement_count
2011-11-11,pre_graduation,245,0.1760531135531136,8,0,3,3,0
2011-11-11,pre_graduation,185,0.15476190476190474,2,0,2,1,1
2011-11-20,pre_graduation,149,0.1057936507936508,4,0,1,0,2
2011-11-20,pre_graduation,439,0.10218805114638452,0,0,4,2,1
2011-11-27,pre_graduation,341,0.13227513227513224,2,1,1,1,1
2014-12-01,pre_graduation,272,0.09543650793650793,0,0,2,0,0
2014-12-02,pre_graduation,506,0.03882167152575316,1,2,5,0,2
2015-01-04,pre_graduation,1240,-0.09069637259292435,4,1,7,6,3
2015-01-16,pre_graduation,737,0.093239586989587,1,2,6,1,3
2015-01-22,pre_graduation,516,0.09529645191409897,2,1,6,0,0
2015-01-26,pre_graduation,718,0.15188550420168068,3,2,2,2,3
2015-02-08,pre_graduation,861,-0.10278218694885363,5,1,3,2,2
2015-03-08,pre_graduation,1156,0.03292358553552583,5,2,4,3,3
2015-03-09,pre_graduation,294,-0.007663265306122437,0,0,1,0,0
2015-03-10,pre_graduation,333,0.0572410192147034,5,1,3,1,0
2015-05-02,pre_graduation,975,0.101228354978355,2,2,5,1,1
2015-05-02,pre_graduation,847,0.021676587301587308,4,1,5,4,0
2015-07-28,pre_graduation,299,-0.03097643097643097,3,0,4,1,0
2015-08-03,pre_graduation,348,0.05316358024691359,1,1,2,1,0
2015-08-07,pre_graduation,352,0.13687512883941455,1,3,5,0,2
2015-08-08,pre_graduation,187,-0.2833333333333334,1,0,1,1,1
2015-08-10,pre_graduation,463,-0.04380341880341881,0,2,2,0,1
2015-08-12,pre_graduation,278,0.12165404040404042,1,2,2,2,0
2015-08-20,pre_graduation,560,0.09378607503607504,1,1,5,0,0
2015-08-28,pre_graduation,459,0.033196763553906404,2,2,3,1,0
2015-08-31,pre_graduation,82,0.1392857142857143,0,0,1,0,0
2015-08-31,pre_graduation,950,0.047998027386325276,3,2,6,3,2
2015-08-31,pre_graduation,73,0.2863095238095238,0,0,0,0,0
2015-10-29,pre_graduation,1098,0.020650402837902836,2,3,5,1,1
2015-10-29,pre_graduation,684,0.07813599161255413,3,1,3,3,2
2015-11-08,pre_graduation,2619,0.10734970219538127,4,4,5,3,5
2015-12-17,pre_graduation,205,-0.061111111111111116,0,0,2,0,1
2015-12-22,pre_graduation,282,0.1311111111111111,1,2,1,0,1
2015-12-22,pre_graduation,671,0.05987650742115029,0,0,3,0,0
2016-02-10,pre_graduation,226,0.1473684210526316,0,2,4,0,0
2016-02-13,pre_graduation,609,0.0748130341880342,1,3,4,1,1
2016-02-26,pre_graduation,419,0.10580086580086581,2,2,2,0,3
2016-03-29,pre_graduation,653,0.0024637299637299713,0,3,4,2,2
