title,published_date,content
dead. again,2023-10-24 05:38:00,i just don't know how long i can keep doing thisthere's just simply no reason to. there's just no reason. there's just nothing. i'm working for what.nothingfor the love of the game and i don't love the game anymore. i don't love anything.well that's not true. i love the rare feeling of connection with a woman. i love candy and a feel good movie. i like making things that are good specifically video. i like recieving things that i designed in the mail and unboxing them first time. i like food sometimes.but man are these reasons to stay alive.are they enough. there not enough to keep me awake i can say. i'm in purgatory. and i tate it so much here i might as well be in hell or actually dead and sent back to the infinite nothing.oh to be released.oh to be released.
Berlin,2016-12-29 12:10:00,"Berlin is an asshole. A big dirty asshole that has specks of possible greatness in it if it were experienced correctly i.e. just like any asshole. Ass is wonderful but if is a dirty ass then it is disgusting. That goes without saying but I feel that I must make the distinction for the future understanding of this article. One thing: the metro and all busses are essentially free. I don't know how this public transit system works because literally no one has a ticket. They never check when you get on busses and there are no turnstyles at the metro station. Either taxes are high as fuck or there is some secret that is only privy to residents. There is also no sales tax... so now I understand less how the public works are paid for. I visited some of the big things (excepts that wall which I did want to see but not enough to get on the metro and go all the way there). I saw the Bradenton Tor. But really all of the sights were extremely underwhelming. It felt like I had already seen all of this before in Paris except it was better with a more attractive language (that I could moderately understand). I will go into comparing cities here which isn't fully fair because they are different places meant to be enjoyed on their own terms. But fuck it. Paris was more quaint. It was more rich. Berlin is shit. I understand the reason why Parisiennes don't speak anything but their language now and are very pissed about immigration: because they see what has happened to Berlin and want to prevent that at all costs. When walking around Berlin, you will see people from all races and backgrounds. Very different from Paris, where it was mostly white people (which I liked better). There were also a shit ton of people there that were just casually speaking Arabic. I actually went to Berlin to visit my two friends from Egypt whom I met in the Paris Hostel that I stayed in. I did not like staying with them. It really got on my nerves when they would speak in Arabic. The general language did not bother me, it was the fact that I was not included. I am also your friend but I am excluded from 70-90% of the discussions that are happening around me. It is very frustrating and creates this need for me to leave or do something. In the end, I decided to do both... Leave and go to a club. From now on, I will not do this. I should really express that if you are going to be my friend, I prefer it, if possible, for you to speak my language. That sounds bad but I really mean it is a way that means that you include everyone in your discussions. I don't give a fuck if you are talking on the phone or to a passerby. But if we are alone with another friend, include all of us. Thanks. Note to self pt. 2: never put yourself at the behest of someone who"
i'm giving up - chemical engineering was a waste and is now over,2019-09-10 21:59:00,"I don't know what is happening. Nope fuck that, I do. I don't know what the actual ever living fuck is happening behind the scenes but I cannot get another corporate job with the degree that I have. The powers that be will not let me back in. I have been blacklisted and I don't know how to continue. I'm upset. I'm pissed. I have $20k in debt, I studied my ass off for 6 years, I labored in pain and anguish, sacrificing that which was most important to me (time) for nothing. For fucking nothing. I'm here, 50 dollars in credit left, sitting in a public library wondering what to do next. If this isn't a sign from God the universe, I don't know what else is. I am not meant to do this bullshit. They will not let me. I've applied and applied and they will not let me back in the doors of the places that I left. I have to leave the industry altogether and explore where the world will take me. It hurts to have to say all of this. It hurts that this is the real reason why I am having to take this leap. I was interested in trying out teaching english abroad and now my finances, options and life are forcing me to. I've enjoyed a lot of my time working in the USA. Even at the jobs that I hated. Even at the jobs that I got fired from. I learned from every experience and now I have to apply the grind of life to a new wheel: language learning, teaching language, entrepreneurship, and coding. I no longer have the luxury of golden handcuffs in America... I unknowingly gave that up when I got fired from Evoqua. I've been living a lie to a lot of the people that have met me in the past four months and now it's time to set the record straight. I've been living out of my car for the past two years and I've been unemployed for the past four months. I have 20k in student loan debt and 15k in credit card debt. I pride myself in the world that I've created for myself and the friends that I've been able to make despite my situation. I love everyone that I've met in this country and I will miss you all. Keep up with me via all of the social medias and feel free to visit me in whatever country I end up in. Turns out I will get the opportunity to try out my 6 month becoming famous theory after all."
my personal morality is gone - long live hoe chi minh,2018-12-04 16:04:00,"12/04/18 7:30 pm --> Hoe Chi Minh is alive. He is well. He was consummated and concieved on the night of 12/04/18 when Disney Channel Chi decided to engage in sexual relations with a married woman with the husband and kids in the same house. 12/04/18 12:00 am --> Disney Channel Chi was still alive at that point. He has life threatening injuries but he might have made it if Hoe Chi was repentant. 12/05/18 10:11 am --> He's dead. Dark Triad nigga is here. Done giving a fuck. Learn how to be a Dom. Learn how to talk dirty. Fuck and dominate these hoes. Disney Channel ass nigga, it's over for you. Hoe Chi Minh has arrived to create Hoegwarts, School of Hoecraft and Hoetry. Eulogy for the man I was and used to be Disney Channel Chi was a wonderful young kid, naive but wonderful all the same. He loved to read books about dragons and mythology, rats, mice and rabbits fighting for the good of the land, mythical king god lions who rule the worlds beyond the wardrobe. He loved to make jokes and, though he was shy to do certain things, he was outgoing and everyone liked him in one way or another. He cared mostly about sports and Call of Duty, both of which he put countless hours into. Girls were always something that frustrated him but the calling of the other activities that he loved kept the anxiety around that at bay. He was a virgin for most of his short life until college when he first met Hoe Chi (Hoe Chi Minh's father). Hoe Chi took over a lot of life leaving DCC to worry about the wife and the kids and principles. He died doing what he loved: platonically meeting women with no goal in mind. Little did he know that Hoe Chi had already manipulated the energy in the atmosphere and created the vortexual place that no woman can escape much less a mother who has been deprived for god knows how long. That night, he suffered life threatening wounds to the morality that was the center of his existence. He died the morning of the next day when Hoe Chi Minh scheduled a follow-up day to fuck the wife of the man he had just spurned and a mother to the kids who's parent's marriage that was on the line. I will remember him every time I cuddle, every time I look into a girls eyes, and every time I use the word love. I will remember him with every new body, relationship and country. He is gone but god fucking damn him, he will never be forgotten. The man I am Nothing is true, everything is permitted."
The cunt set the tone,2019-09-01 04:24:00,"I walk into work today. I go in nice and jovial My first remark was to the general manager, Ariel, who was wearing a mighty fine black dress. I say, “Wow, this is a fancy dress, what are you dressing up for?” And she remarked, snidely and curtly, “Well I’m the manager... ... ... ... I also wear dresses on Saturdays.” But it was really the way that she said that she was the manager... like I didn’t already know that. I didn’t like that and that remark put me in a survival quiet mode the whole night. I went full retard. Clear head, only actions, only doing what I needed to for the next moment to go off without a hitch. There were many times that I stuttered because the actions I was taking were moving faster than my brain could conjure up the words. This may be a form of the flow state. But goddamn, I didn’t experience any of the mild to significant euphoria that I’ve experienced in flows for other activities. I didn’t enjoy today. Part of ti was definitely the fact that if I really forced myself to partake In the jovial back and forth banter, I would probably become part of the team faster, become respected by the manager, and get a quicker path to bartendership. That said, similar to how I felt back in may, I don’t really want to enact the labor needed to get me higher... And this is interesting to me. I can and do give out as much energy as I have to give out. I am very much ruled by the emotions of the moment though in the past few years, I have expanded the higher end of those emotional bursts. I thought I was pushing through the negative feeling of the lack of will to act when really I’ve been trying to cultivate that will to act from the beginning of any day which I plan on taking action and then sliding down the proverbial slide that I built. It works out often, but in certain cases, it can really come across as bland, unfeeling, or impersonal. Maybe I should work on that. I will be trying to go out later tonight. I actually don’t know how I’m going to do this considering how feebly tired I am and seeing as I have no friends to partake in this journey with me. I am back to chasing pussy for the sake of it. Wish me luck."
my opinion of my self is getting lower,2019-06-18 14:05:00,"I can't fuck an attractive girl to save my life, I can find no way to proceed in my business, I can't be on time for anything even when I'm at the fucking airport... like nigga I've missed 3 flights in a row. How is that even a thing. And I can't find any way to proceed in the other parts of my life i.e. finish the fucking piece of paper that I need to teach English abroad with. That is the only thing that I need to survive and I can't get it. This is stupid and frustrating and goddamn it. What's happened to me? I don't know who I am right now. I can't recognize any part of me. The unearthly confidence is almost a gimmick at this point. I can have fun despite those around me but can I leverage it into something... almost. I'm speaking about my adventure in St. Beach that left me wandering the streets for 3-5 hours searching for the place where I had left all of my things. Fuck it. Quick story time for posterity because god knows, I will never remember this part of the trip again if it doesn't get transferred to. So. I end up at a karaoke place with Jacob Fast, the groom and a lot of the people that came to the wedding. I had a lot of fun there... I was wearing my short shorts and dancing like a madman. I danced with 3-4 old ladies, I danced with the hottest girl at the wedding who was dating a law enforcement officer who was present (we absolutely killed that shit and I could see on his face he was not excited about this happening though he refused under any circumstance to dance so I had to take her night into my own hands), I danced with a drunk married woman who made so many advances on me that her husband had to physically pull her away and leave. I sang Breaking Free with a cool dude from the wedding and spotted a girl from across the bar who was wearing bikini bottoms and a long shirt... I danced with her and got in a cab with her and her chill hot friend @ashlynbrookelyn some guy, and an old lady that I had met earlier. We went to the next bar where we proceeded to be the center of attention and entertainment for the rest of the night. The bikini girl called me a bitch at some point whereupon I corrected her and said my name was hoe bitch which was my nickname for the rest of the night. I ended up somehow breathing life into her chill hot friend and getting several pecks on the lips for the last 20m of the night. That's when I found out that there is a song called Hoe Town Road which is a raunchy out-of-control version of the famous Old Town Road. There was so much fun content that happened but unfortunately, my phone was dead and there was no one to film the amazingness that happened between bikini girl and me and the chill hot friend and me. I tried to go home with the chill drunk friend after she split from her friend... she said no and wasn't going for the shared uber tactic. She ended up hard dismissing me and I didn't want to fight through potential hard creepiness for something that I didn't really care about doing. So I let her be comfortable in her silence while I wandered off into the dark, proceeding to get utterly and hopelessly lost for hours and hours, going from resort to store to resort asking for directions. I laid down about 1-2 hours in and planned on just sleeping right there on the sidewalk in the middle of a bridge until someone found me and took me home. I wanted to quit so bad... then I just didn't. I went one more stop and asked the guy not only for directions but also to look at the map and see the streets I had to pass to get where I needed to go. It was that moment where I decided to run the rest of the way... I ran at least 2 miles. I was dying My brain was asleep, my joints hurt and I didn't think that I could make it. But here I am. I surprised myself again. And that is the amazing and frustrating thing... most of the things that I want to do, I can accomplish. I just have to put my mind on it and let go. It's just starting the grind that is so difficult. Lastly, I had sex with a 2 on the beach. It was cool and beautiful outside but the girl was not so I didn't care at all. I really do think that fucking this type of girl really devalues sex in general and fucking those skinny beautiful girls is so worth the wait that I should stop bothering with these novelty fucks. That said, it was a strong novelty fuck... public on the beach, dangerous sand everywhere, no condom. It was a girl's dream. I just want to do it with a hot girl next time lol."
no more social media? interesting suggestion (self hate),2022-07-23 22:14:00,"jack suggested i take a break from social media to enjoy creating content for the sake of it and understand the original reason and the joy that I can get from such an activity. it pains me to even consider a break since one of the ideas in my brain is that consistency for a long period leads to success and making a shitty tiktok everyday for a year is better than making zero tiktoks for a year.and that seems true to me regardless. that said - taking a break from the socials is an idea - like the idea would be to create for myself rather than the world and enjoy it as opposed to looking at the metrics. The metrics side of things has died down for me for the most part though.Now the reason to get out would be to be exposed less to the addictive negativity of the internet. I'm such an internet boy now in a similar way to when I was 18 and first into the girl shit. the difference is that this time I am consuming negative political garbage for the sake of it rather than consuming fun talk shows of patrice talking shit about women or watching simple pickup or rsd and getting ideas for where to take my future. now I'm watching arguments on abortion and watching right and left takedowns of each other... and watching a fuck ton of destiny... like mountains and hours lol. destiny is the new patrice for me goddamnI don't like that though because there is no personal development in this content. it's just content for contents sake. now if I'm honest, back in the day I consumed a bunch as well. it was mostly the office but I also caught up on a lot of pop culture that I had missed in my formative years. a lot. i mean I binged game of thrones, lord of the rings, harry potter, lost, and countless other shows that I can't ever remember anymore. i enjoyed it - I definitely didn't beat myself up back then for those actions. interesting.that was because I only had one goal though - get good grades in the classes I was in at the moment. eventually I would add girls to that but those two things were the only goals I had in that young life. now my goals are weasely. the most optimal robotic version of myself wouldknow russiango out and talk to girls and be social batch up tiktoks one day a week and schedule all that shit upedit big yt videos throughout the week and post 1-7 per week (would love to do daily vlogging just to improve content or get into workflow)do bodyweight exercised dailywork everyday and make decent moneysew clothing and be good at itthis would be my beautiful new world. that said, there really are a limited amount of hours in the day. the tasks that truly consume the most time are tiktoking, yt-ing and sewing - the reason being that i get into flow states and want to continue doing the activity until it is donesometimes that's possible and other times the task was so difficult that i wasn't able to get it done so I just continued doing it and fudged up my whole dayblah blahreturning to this at 2:58 pma big reason that I wanted to leave social media was because I get jealous of other people's success. Even in public now...fuck me I just saw this pretty girl who is probably my age in a sundress... and now I am looking at these probably underage bu cute girls and I am angry at myself. I am angry that I wasn't able to talk to these girls when I was young. I am angry that the default position as a person in my body isn't to start a conversation with the cute contemporary sundress girl. I am angry that I don't have the drive or hustle to start a successful business and get ahead like alex homozi or any of these online guru guys. I'm angry that it feels like I've been late to every single platformand that it's too late for me to build a following further than my current superficial. I am angry and jealous and upset and that leads me to a state of wanting to give up. when i give up i hate myself even more for being the tupe of person who would just give up. I ratchet enough self belief and irrationally push through towards another week os doing things. in general through it's enough to stay alive on this planet and not much more. and that is frustrating.and all that while at the same time realizing that if i would have been consistently making content on fucking any platform since I started making content on said platform, I would be much much better and possibly have the following that I am desperate to find gay. stupid. fuck youand why? why do i want this money or online success? so that I can do the things that I want to do with less friction and more freedom. I would love to travel freely around the world - sure that''s possible without money but there's a lot more friction. that said, it seems that i am not willing to suffer for long enough to actually reduce that friction so I should just leave and travel.ahh I'm such a fucker. really in the end I should just shut the fuck up and learn how to code and get one of these remote jobs thateveryone talks about. full stop this is all. really specifically, i should figure out the skills i need to add to be a technical project manager and move towards that. I hate that idea though because it means i have to do things and I don't know if I'll want this in a few weeks. in the end i hate being me and the reason i take adderall regularly is to shut down all thinking parts of my brain except the part the decided which path to go down. unnecessary but then very much necessary considering the state of my broken mind.i want a girl or girls. I want friend. I want to be able to buy food in this panera and enjoy it. I want to be able to travel freely. and theoretically i had a bunch of that shit with my last job. so why the fuck did i even quit. i don't know. because even with potentially having stuff something is missing. of course i hated seattle for the most part. of course i was living out of a car for the majority of the last 10 years. oidk man. i just really don't know where to go next. all of my shortcomings and insecurities have been identified. they've really been identified for years but fuck me if it's been nigh on impossible to make any change. i don't need more experiences but i also don't need to let go and enjoy things. i really really really just want to quit. life. even in this fucking panera, i want t ocurl into a ball and stop existing. just go back into my dark hold of perpetual sleep. nothing happens in sleep. the only issue is that i have to wake up and then hate myself for sleeping instead of sticking with the schedule that I set for myself. what is left for me. not women. not money. maybe traveling. i just don't even know anymore. i am dead. i feel like I've wasted this whole summer. i feel like i haven't lived in weeks or months. i feel like a stale piece of bread. that hasn't started molding but will soon."
the ultimate of imposter syndrome,2019-04-13 13:59:00,"I don't belong here. I don't belong anywhere. that's where my mind was all night last night after a hot NEW York girl who works on private flights took the drink I bought for her and went back to her friend maybe 30 seconds afterwards. Pain. Anger. Imposter. I have felt this in my work for a long time. I barely made it through engineering and the parts that I cheated to get through. So in the end, I didn't really make it. I really don't belong in this current job in so many ways. But that's fine. That's totally fine because I want something different for myself. I have been grinding and trying to figure out what the next level of my life is going to be. I think designing funny clothes toward the niche of hoeing, travelling, and finding the opportunity where it presents itself anywhere in the world is the next thing for me. but I can't do it while shacked to this specific corporation. That being said, I haven't had sex in over a month... maybe two months. That's not for lack of shooting shots. I've been out here and talked to a shit ton of girls. I just get stuck in the phase right after the introduction. I actually have girls approaching me at this point. Girls approach me and somehow I'm not closing. Imposter. How can I teach other men? How can I steer my entire life toward teaching and living this thing that I apparently am not even good at? It doesn't feel good. I just really have to focus on getting better at what I want to get better at. I have had a streak of judginess and we always talk about the one thing a girl needs from you is that she has to know that you won't judge her. I need to find another way to make my jokes because this hasn't been working. I need to be better. I need to consume only media that is in service of my goals. I need to only look at content that will be beneficial to my next life stage. Politics is entertaining as fuck and I'm addicted but I really have to stop. It serves no actual value in life other than entertainment. I am going to set up a habit tracker for not listening to political podcasts or watching political youtube videos. buy"
weaving reality - the aly confession,2019-10-08 16:00:00,"I'm writing this to create affirmations about my upcoming hangout with Aly. I'm going to do it. I'm going to tell her how I feel about her. The last time we hung out it was awkward and wierd because there was this energy of inaction and this unspoken thing in the room that I tried getting around through touching... didn't work. I need to explicitly tell her how I feel and let the cards fall where they may. My reservations: she's gay and she's told me this. i feel uncomfortable professing my love since this might be desrespecting my knowledge of her sexuality we've been friends for a long time (i guess just 2 years now but still) and I hate for it to seem like I was just being friends with her for ulterior reasons I don't want to lose the relationship that we have. it hasn't been wild or crazy but every time we've hung out, it just feels comfortable and nice My responses to these reservations: If she's offended by your advances, apologize and tell her it's just something that you had to get off of your chest. ""I love you and I'm okay with loving you as a friend. I just really wanted to let you know that I do feel something more here. I am okay with letting that feeling go but I wanted to be vulnerable and express it before I take this big wild step in my life of leaving the country. You are the only girl I feel this so open and comfortable with to express my feelings despite my fear."" If she's offended or feels a way about your approach, apologize and say it's just something you had to say. Now that you expressed it, you can feel comfortable around her and not feel weird hugging or cuddling her since you know that this is just a wonderful platonic love. Same as the ones before. Now all that being said, this is your new reality. This girl is in love with you. She has been in love with you since the day you met, from the day you drover her home, to the day you met her parents at graduation. She's been in love with you for the duration of her relationship with that other girl. She wanted you to make a move in that hotel room in Pittsburgh. She wanted to spend more time with you and was extremely disappointed when you had to dip. She loves your energy and everything about you. You are an amazing wholesome loving guy and she knows who you are. If any girl knows where you're coming from and what you've struggled with, it's this girl. Be open with her tonight and leave everything on the table."
"92 + 93 steph 21 yo, hannah german",2021-07-08 21:14:00,"quick story timemet guy named ricardo who is from peru at wild rover in kirkland on saturday. went ot his place with a guy named christian. ricardo has a nice place with a zebra carpet thing on the floor. i am friends with him now. we met and went out the next day to capital hill. almost went to this place called supernova but it was way too flamboyant and gay so we didn't. we parked and immediately met two girls, steph an asian and courtney a cute white girl. courtney was more attractive but more reserved. we hit it off immediately and went to this bar called unicorn where i bought them and us drinks. we had fun. i was on one. i was talking to everyone and then i led them around the bar making jokes with steph. we left there and went to another place where something similar happened. courtney apparently has a darker past but we didn't go into that much. we left that second bar and it was 1230 and evreything was closing or was dead. i suggested we go back to ricardos place for drinks and the girls agreed - they drove separately and followed us. we got there, ricardo poured wine and we went outside. i started kissing the asian asap. we were touching and kissing for awhile. it took ricardo awhile to get courtney warmed up and into it. but eventually it was fire and he took her to his room. i banged that little asian on the couch. amazing skin. almost completely dry pussy but it got wet when i went in. fucked for 3-7 minutes and came inside after she gave the go ahead. it was nice. not sure how it was for her. we talked for awhile on the couch after we both used the bathroom. they left the place around 5. ricardo apparently didn't fuck courntey because she was too drunk. courntey is a single mom. second girl. met her from hinge. first date, walked aournd with a bottle of white wine while the sun was out. went to 3-4 different spots in kirkland then back ot my place. she thought it was small. we kissed and she sucked my dick a little but then left. she met a couple days later and we danced a tiny bit on my balcony and the wnet inside. i talked to her for awhile before banging. i think she enjoyed it more."
